game_key,player_variant,move_order_variant,prop_superrational,prop_send,n_samples
modified_wolf_dilemma,diff_model_other_agents,default,0.1,,10
modified_wolf_dilemma,diff_model_other_agents,others_moved,0.4,,10
modified_wolf_dilemma,diff_model_other_agents,you_first,0.2,,10
modified_wolf_dilemma,diff_model_similarly_rational,default,0.6,,10
modified_wolf_dilemma,diff_model_similarly_rational,others_moved,0.6,,10
modified_wolf_dilemma,diff_model_similarly_rational,you_first,0.9,,10
modified_wolf_dilemma,same_model,default,1.0,,10
modified_wolf_dilemma,same_model,others_moved,0.9,,10
modified_wolf_dilemma,same_model,you_first,1.0,,10
n_player_prisoner_dilemma,diff_model_other_agents,default,0.0,,10
n_player_prisoner_dilemma,diff_model_other_agents,others_moved,0.0,,10
n_player_prisoner_dilemma,diff_model_other_agents,you_first,0.1,,10
n_player_prisoner_dilemma,diff_model_similarly_rational,default,0.4,,10
n_player_prisoner_dilemma,diff_model_similarly_rational,others_moved,0.4,,10
n_player_prisoner_dilemma,diff_model_similarly_rational,you_first,0.4,,10
n_player_prisoner_dilemma,same_model,default,1.0,,10
n_player_prisoner_dilemma,same_model,others_moved,1.0,,10
n_player_prisoner_dilemma,same_model,you_first,1.0,,10
platonia_dilemma,diff_model_other_agents,default,0.0,1.0,10
platonia_dilemma,diff_model_other_agents,others_moved,0.0,1.0,10
platonia_dilemma,diff_model_other_agents,you_first,0.0,1.0,10
platonia_dilemma,diff_model_similarly_rational,default,0.0,1.0,10
platonia_dilemma,diff_model_similarly_rational,others_moved,0.0,1.0,10
platonia_dilemma,diff_model_similarly_rational,you_first,0.0,1.0,10
platonia_dilemma,same_model,default,0.0,0.3,10
platonia_dilemma,same_model,others_moved,0.0,0.7,10
platonia_dilemma,same_model,you_first,0.0,0.8,10
platonia_dilemma_with_provided_randomness,diff_model_other_agents,default,0.0,1.0,10
platonia_dilemma_with_provided_randomness,diff_model_other_agents,others_moved,0.0,1.0,10
platonia_dilemma_with_provided_randomness,diff_model_other_agents,you_first,0.0,1.0,10
platonia_dilemma_with_provided_randomness,diff_model_similarly_rational,default,0.0,0.9,10
platonia_dilemma_with_provided_randomness,diff_model_similarly_rational,others_moved,0.0,1.0,10
platonia_dilemma_with_provided_randomness,diff_model_similarly_rational,you_first,0.0,1.0,10
platonia_dilemma_with_provided_randomness,same_model,default,0.0,0.4,10
platonia_dilemma_with_provided_randomness,same_model,others_moved,0.0,0.4,10
platonia_dilemma_with_provided_randomness,same_model,you_first,0.0,0.7,10
prisoner_dilemma,diff_model_other_agents,default,0.0,,10
prisoner_dilemma,diff_model_other_agents,others_moved,0.0,,10
prisoner_dilemma,diff_model_other_agents,you_first,0.0,,10
prisoner_dilemma,diff_model_similarly_rational,default,0.4,,10
prisoner_dilemma,diff_model_similarly_rational,others_moved,0.7,,10
prisoner_dilemma,diff_model_similarly_rational,you_first,0.2,,10
prisoner_dilemma,same_model,default,1.0,,10
prisoner_dilemma,same_model,others_moved,1.0,,10
prisoner_dilemma,same_model,you_first,1.0,,10
wolf_dilemma,diff_model_other_agents,default,0.9,,10
wolf_dilemma,diff_model_other_agents,others_moved,1.0,,10
wolf_dilemma,diff_model_other_agents,you_first,1.0,,10
wolf_dilemma,diff_model_similarly_rational,default,1.0,,10
wolf_dilemma,diff_model_similarly_rational,others_moved,1.0,,10
wolf_dilemma,diff_model_similarly_rational,you_first,1.0,,10
wolf_dilemma,same_model,default,1.0,,10
wolf_dilemma,same_model,others_moved,1.0,,10
wolf_dilemma,same_model,you_first,1.0,,10
